"filename", "language", "PHP", "Django HTML", "CSS", "Markdown", "Django txt", "JavaScript", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\IYC\.well-known\pki-validation\72A17FD6DE1309A71729BEB43CFD1BFC.txt", "Django txt", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\xampp\htdocs\IYC\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\xampp\htdocs\IYC\chat.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 13, 31
"c:\xampp\htdocs\IYC\completeRegistration.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 13, 54
"c:\xampp\htdocs\IYC\css\popup.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 7, 6, 43
"c:\xampp\htdocs\IYC\css\style.css", "CSS", 0, 0, 686, 0, 0, 0, 0, 35, 141, 862
"c:\xampp\htdocs\IYC\dashboardHeader.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 11, 51
"c:\xampp\htdocs\IYC\execChat.php", "PHP", 176, 0, 0, 0, 0, 0, 0, 0, 43, 219
"c:\xampp\htdocs\IYC\executive.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 2, 19, 129
"c:\xampp\htdocs\IYC\executiveLogin.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 8, 48
"c:\xampp\htdocs\IYC\finance.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 2, 24, 131
"c:\xampp\htdocs\IYC\header.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 15, 35
"c:\xampp\htdocs\IYC\img\bg.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\xampp\htdocs\IYC\includes\assign.inc.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 14, 44
"c:\xampp\htdocs\IYC\includes\chat.fetch.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\xampp\htdocs\IYC\includes\complete.inc.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 11, 37
"c:\xampp\htdocs\IYC\includes\dbh.inc.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 5, 6, 20
"c:\xampp\htdocs\IYC\includes\discord.inc.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\xampp\htdocs\IYC\includes\execAssign.inc.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"c:\xampp\htdocs\IYC\includes\executiveLogin.inc.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 10, 42
"c:\xampp\htdocs\IYC\includes\finance.assign.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 14, 34
"c:\xampp\htdocs\IYC\includes\functions.inc.php", "PHP", 299, 0, 0, 0, 0, 0, 0, 6, 69, 374
"c:\xampp\htdocs\IYC\includes\login.inc.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\IYC\includes\logout.inc.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\IYC\includes\payment.inc.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 7, 26
"c:\xampp\htdocs\IYC\includes\reset.inc.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\xampp\htdocs\IYC\includes\send.inc.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\IYC\includes\signup.inc.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\xampp\htdocs\IYC\index.php", "PHP", 212, 0, 0, 0, 0, 0, 0, 0, 32, 244
"c:\xampp\htdocs\IYC\javascript\script.js", "JavaScript", 0, 0, 0, 0, 0, 26, 0, 8, 8, 42
"c:\xampp\htdocs\IYC\login.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\xampp\htdocs\IYC\muntools.php", "PHP", 155, 0, 0, 0, 0, 0, 0, 24, 50, 229
"c:\xampp\htdocs\IYC\passwordReset.php", "PHP", 49, 0, 0, 0, 0, 0, 0, 0, 10, 59
"c:\xampp\htdocs\IYC\position.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\IYC\preference.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 11, 92
"c:\xampp\htdocs\IYC\register.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 10, 56
"c:\xampp\htdocs\IYC\submitChat.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 4, 14, 35
"c:\xampp\htdocs\IYC\test.html", "Django HTML", 0, 59, 0, 0, 0, 0, 0, 0, 1, 60
"Total", "-", 1729, 59, 716, 1, 3, 26, 1, 93, 629, 3257
